"name","year","kilom","fuel","trans","owner","mileage","engine","power","seats","pricedol"
"Audi A4 3,2 FSI Tiptronic Quattro","2012","125000","Petrol","Automatic","First","10.5","3197","","0","1"
"Smart Fortwo CDI AT","2008","103000","Diesel","Automatic","Second","0","799","","2","0"
"Audi TT 2,0 TFSI","2014","14262","Petrol","Automatic","First","9.9","1984","207.8","2","1"
"Audi TT 2,0 TFSI","2013","12100","Petrol","Automatic","First","9.9","1984","207.8","2","1"
"Porsche Boxster S tiptronic","2015","10512","Petrol","Automatic","First","8.6","2706","265","2","1"
"BMW Z4 2009-2013 35i","2011","25000","Petrol","Automatic","First","10.37","2979","306","2","1"
"BMW Z4 2009-2013 Roadster 2,5i","2018","9952","Petrol","Automatic","First","10.37","2979","306","2","1"
"Mercedes-Benz SLC 43 AMG","2017","13372","Petrol","Automatic","First","19","2996","362.07","2","1"
"Mercedes-Benz SLC 43 AMG","2019","2526","Petrol","Automatic","First","19","2996","362.07","2","1"
"Porsche Cayman 2009-2012 S","2010","10000","Petrol","Manual","First","9","3436","","2","1"
"Porsche Cayman 2009-2012 S tiptronic","2011","8000","Petrol","Automatic","First","9","3436","","2","1"
"Mercedes-Benz SLK-Class SLK 350","2015","10000","Petrol","Automatic","First","18.1","3498","306","2","1"
"Mercedes-Benz SLK-Class SLK 350","2016","22732","Petrol","Automatic","First","18.1","3498","306","2","1"
"Jaguar F Type 5,0 V8 S","2015","8000","Petrol","Automatic","First","12.5","5000","488.1","2","1"
"Lamborghini Gallardo Coupe","2011","6500","Petrol","Automatic","Third","6.4","5204","560","2","1"
"Mercedes-Benz SL-Class SL 500","2010","35000","Petrol","Automatic","First","8.1","5461","387.3","2","1"
"Mercedes-Benz SLK-Class 55 AMG","2014","3000","Petrol","Automatic","Second","12","5461","421","2","1"
"Tata Nano XTA","2016","17800","Petrol","Automatic","Second","21.9","624","37.48","4","0"
"Tata Nano XTA","2016","29000","Petrol","Automatic","First","21.9","624","37.48","4","0"
"Tata Nano XTA","2016","24941","Petrol","Automatic","First","21.9","624","37.48","4","0"
"Tata Nano XTA","2017","32684","Petrol","Automatic","First","21.9","624","37.48","4","0"
"Tata Nano XTA","2017","18351","Petrol","Automatic","First","21.9","624","37.48","4","0"
"Tata Nano XTA","2016","5240","Petrol","Automatic","First","21.9","624","37.48","4","0"
"Tata Nano XT","2011","50000","Petrol","Manual","Second","23.9","624","37.48","4","0"
"Tata Nano XT","2017","14149","Petrol","Manual","First","23.9","624","37.48","4","0"
"Tata Nano STD SE","2012","80000","Petrol","Manual","Second","25.4","624","37.5","4","0"
"Tata Nano Twist XT","2014","18000","Petrol","Manual","Second","25.4","624","37.5","4","0"
"Tata Nano Twist XT","2014","18050","Petrol","Manual","Second","25.4","624","37.5","4","0"
"Tata Nano LX","2013","4700","Petrol","Manual","First","25.4","624","37.48","4","0"
"Tata Nano CX","2014","59508","Petrol","Manual","First","25.4","624","37.48","4","0"
"Tata Nano LX SE","2014","19698","Petrol","Manual","First","25.4","624","37.5","4","0"
"Tata Nano Lx BSIV","2011","35000","Petrol","Manual","First","25.4","624","37.48","4","0"
"Tata Nano Twist XT","2014","16810","Petrol","Manual","First","25.4","624","37.5","4","0"
"Tata Nano Cx BSIV","2014","42083","Petrol","Manual","First","25.4","624","37.48","4","0"
"Tata Nano Twist XT","2015","19963","Petrol","Manual","Second","25.4","624","37.5","4","0"
"Tata Nano Twist XT","2015","25811","Petrol","Manual","Second","25.4","624","37.5","4","0"
"Tata Nano Twist XT","2014","25500","Petrol","Manual","First","25.4","624","37.5","4","0"
"Tata Nano Twist XT","2015","30676","Petrol","Manual","First","25.4","624","37.5","4","0"
"Tata Nano Lx","2011","65000","Petrol","Manual","Second","26","624","35","4","0"
"Tata Nano Cx","2010","57000","Petrol","Manual","First","26","624","35","4","0"
"Tata Nano Lx BSIV","2012","4187","Petrol","Manual","First","26","624","35","4","0"
"Tata Nano Lx","2013","37287","Petrol","Manual","First","26","624","35","4","0"
"Maruti 800 Std BSIII","2004","12000","Petrol","Manual","Second","16.1","796","37","4","0"
"Maruti 800 Std","2003","52000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 Std","2002","75000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 DX BSII","2000","78000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 Std BSIII","2002","53500","Petrol","Manual","Second","16.1","796","37","4","0"
"Maruti 800 AC","2007","59000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 AC Uniq","2009","22100","Petrol","Manual","Second","16.1","796","37","4","0"
"Maruti 800 DX BSII","2009","32000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 Std BSIII","2006","165000","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti 800 AC","2010","70000","Petrol","Manual","Second","16.1","796","37","4","0"
"Maruti 800 AC","2007","72000","Petrol","Manual","Third","16.1","796","37","4","0"
"Maruti 800 AC BSIII","2011","83969","Petrol","Manual","First","16.1","796","37","4","0"
"Maruti Alto 800 2016-2019 CNG LXI","2012","65537","CNG","Manual","Second","33.44","796","40.3","4","0"
"Maruti Alto 800 2016-2019 CNG LXI","2015","18000","CNG","Manual","First","33.44","796","40.3","4","0"
"Maruti Alto 800 2016-2019 CNG LXI","2018","10600","CNG","Manual","First","33.44","796","40.3","4","0"
"Maruti Alto 800 2016-2019 CNG LXI","2017","24310","CNG","Manual","First","33.44","796","40.3","4","0"
"Maruti Alto K10 LXI CNG","2015","59525","CNG","Manual","Second","32.26","998","58.2","4","0"
"Maruti Alto K10 LXI CNG Optional","2018","44202","CNG","Manual","First","32.26","998","58.2","4","0"
"Mini Cooper 3 DOOR D","2016","20000","Diesel","Automatic","First","20.7","1496","113.98","4","1"
"Mini Cooper 3 DOOR D","2016","32298","Diesel","Automatic","First","20.7","1496","113.98","4","1"
"Mini Cooper 3 DOOR D","2015","27641","Diesel","Automatic","Second","20.7","1496","113.98","4","1"
"Mini Cooper S","2012","37000","Petrol","Automatic","Second","13.6","1598","181","4","1"
"Mini Cooper S Carbon Edition","2012","18000","Petrol","Automatic","First","13.6","1598","181","4","1"
"Mini Cooper S Carbon Edition","2013","52000","Petrol","Automatic","First","13.6","1598","181","4","1"
"Mini Cooper S Carbon Edition","2018","2971","Petrol","Automatic","First","13.6","1598","181","4","1"
"Mini Cooper Convertible 1,6","2015","20000","Petrol","Automatic","First","18.86","1598","122","4","1"
"Volkswagen Polo GTI","2015","60007","Petrol","Automatic","First","17.21","1798","189","4","0"
"Volkswagen Polo GTI","2014","35059","Petrol","Automatic","First","17.21","1798","189","4","0"
"Volkswagen Beetle 2,0","2009","27078","Petrol","Automatic","First","10.98","1984","114.4","4","1"
"Audi TT 40 TFSI","2012","7000","Petrol","Automatic","First","14.33","1984","226.6","4","1"
"Chevrolet Cruze LTZ AT","2009","73204","Diesel","Automatic","Third","18.1","1991","147.9","4","0"
